"Varieta","Trattamento","count","Peso_tot_mean","Peso_tot_sd","Peso_tot_min","Peso_tot_max","Resa_mean","Resa_sd","Resa_min","Resa_max"
"Espoir","Bagged",1,4.74,NA,4.74,4.74,19.1983122362869,NA,19.1983122362869,19.1983122362869
"Espoir","Open",43,3.88209302325581,1.05864594139678,0.61,6.46,17.9589178048537,5.30781983377944,0,27.5449101796407
"Espoir","Open_HP",36,4.05583333333333,0.791517078599247,2.15,5.82,18.7878983887976,4.47803312118683,1.70068027210884,23.921568627451
"Largueta","Open",11,5.99272727272727,1.26026259889827,3.96,7.99,17.1286159658975,1.80961294216485,14.7342995169082,20.1949860724234
"Largueta","Open_HP",14,7.04735714285714,1.08130374350332,5.33,9.6,15.2070262321195,3.66320620752905,2.9038112522686,17.6084099868594
"Planeta","Open",8,4.31,1.08390827234464,2.47,5.82,19.7331258128069,1.6224209067806,17.5097276264591,22.2560975609756
"Planeta","Open_HP",5,5.386,0.911663315045637,4.23,6.48,16.2502998535898,8.36763568585778,1.41843971631206,21.2007504690432
